# POSIÇÕES DE XEQUE-MATE
# Gerado em: 2026-08-18 11:57:01
# Formato: ID | FEN | Peças | Status
# ======================================================================

  1 | 7k/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  2 | 6Qk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  3 | 7k/5QQ1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  4 | 6bk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  5 | 6nk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  6 | 7k/5QN1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  7 | 7k/5Qp1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  8 | 6Bk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  9 | 7k/5Qq1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
 10 | 6Rk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO

######################################################################
# COMANDOS STOCKFISH:
